user_id,following_list
,
45123794,"['146391847', 'matuo', 'childlikesplend', 'staymiao', '159331137', 'gulico', '163956212', '228432329', '183540766', 'Ellie121101', '171075272', '77264870', '153364784', 'echowujq', 'qhbc', 'maylove531', 'tamatan', '177304843', 'yidoutang', 'mukava', '61095484', 'storyhunting', 'nvhaibiepa', '174666513', 'akiakiakiaki', 'DEAD.JO', '161182425', 'northnight', 'r0_chan', 'chijichufang', 'TheSecondCa', 'fangxinpingce', '57514530', '168424130', '56767696', 'SaekoCooking', '119495501', '95446052', '59309496', 'onehundredye', '88092082', 'lcmomo', 'rosemarytv', 'jennylyf', 'auxt', 'lionvision', 'oliviahaohao', '51421883', 'canon520', '135179327', '4671868', 'iseek', '151606539', 'hei769271485', '177686745', '77782024', '155083395', 'blueriver007', 'akpe', 'angelia7e7', '64517758', '103069127', '141728823', '53824105', '2410895', '53204045', 'C3601383', 'zhenshigushi1', 'huangye3', '121068623', 'sukata', '133720155', '52595823', '74056713', 'caichequming', 'xuan1231', 'nekojiru', '29422720', 'bolin0713', '3103013', 'cherry7512', 'MissSweety', 'Evil.', '46284222', 'lutsdoll', '39910638', '42955568', '50042237', 'dear-scorpio', '69690229', 'mintwong', '44716139', 'Hellomogu', '43303328', '49391298', '60134959', 'wonderzizi', 'audreylovebunny', '1408049', '51732970', 'zljym', 'jsahy', '52882108', 'littlegirlblue', '66712561', 'albee0306', 'yemamayemama', 'arranya', 'darkS', 'l.thRee', '158381042', '49075875', 'siyuewuyu', '103271324', '58600475', '70734259', '53893352', 'kissearth', 'ritashenqi', '153019084', '93102985', 'luckypeachchina', '22650421', '25565957', '48127535', '70994808', 'anruoya', 'ihungry', '1435913', 'bibabo8', 'xiaowangluzhu', '74586451', 'rene51', '1640882', 'nestlejoejoe', '63147177', '45528142', 'qiusebolianbo', 'darkcat', 'panyuning', 'lolysheep', 'rood', 'Lucylucy12345', 'tira7misu', '52567832', 'punasijia', 'momoka', 'liuxiaobamboo', '99154541', 'tsuyo', 'ccing', 'mos-neverland.', 'leaf0831', 'sisinonota', 'mallorn', 'ypy-douban', 'CoffeeCancer', 'young722', '14536296', 'misssisi', 'michellemichen', '147762927', '53256601', 'iappler', '52158099', '93982820', '90640938', 'Mowgliiii', 'zhoujiejoyce', 'Nara_Dreamland', '145444321', '121284772', '1441177', '48958039', '73036524', 'kuiweiran', '49318329', '65904805', '145024765', '143650008', '83142313', '121158036', 'panchaoyue', 'aeccrnticgirl', 'CherylLi', 'pinking', 'merrylan', 'chenyuz', 'FunnyBike', '128645743', '57931145', 'chaoself', 'tianer119', '62570583', '84145334', 'tsaochen', 'saha', 'Makoto-Ri', '41816023', '28185222', 'Deawoo', 'HAN-73', 'kdy1986', 'rerd', '138510003', '58357359', '129118890', '40390255', '134682858', 'mousebubu', 'zhoulucy', '2179204', '2524845', 'erinlove7', '53683254', 'bunnyland', 'sylviasylvia', 'viuviu', '3655213', 'FriedrichKatze', 'baobaojinshui', 'smilececi', 'angelanyc', '2141485', '3898502', 'Photoer_Miss', '4116699', '24208355', 'qingqingdaguoli', 'mia630', 'meganzhang', '2157909', '13667843', 'Selma', '3489679', 'elephantwang', '2176612', '4065847', 'littleflyingant', 'strawberryever', 'yotlj', 'violazhong', 'ohhhh', 'MarvinS', 'll7bao', 'yoyomygirl', 'octobercloud', '50754527', 'Q598176297', 'langlang1988', 'pumpkinconnie', 'satan1113', 'chara2011', 'zg788com', '46925088', 'lvyouhotel', 'stardong', 'linkku', 'nirvana7', 'feifeiyu', 'nw77', '53099724', '74891119', '68925498', '62212569', 'musickenny', 'ssguo', '39933041', 'bestdesign', 'feifeisay', '60001922', '56882550', 'boansang', 'huangyongtao', 'guyi', 'karlnewx', 'Scarlett1020', 'chennan1120', '35501117', 'cancl', 'darrenessa', 'autism', 'dujintutu', '51324278', 'hihibyebye', 'vichyhchi', '38560921', 'MickyMichelle', '2285803', '54591220', 'K-majorniannian', '58589401', '40410174', '60145995', '60148619', 'tydbada', 'FungMansion', 'wangdongxue', 'jackalwang', '43717842', 'up8', '2964815', '42773853', '3108859']"
,
BettyLuu,"['183738781', '3196047', '63228477']"
,
152281142,"['CheninBlanc', '154940414', 'GHOSTJIN', '207964833', 'doge33', 'starren', '43401793', '185030447', 'cclethe', '141357083', '45271005', '65459732', '74261553', '140985348', 'dearnaicha', '199918107', '180294811', '80630772', '150511440', '83926465', '180441686', '180473832', '180473770', '88234056', '82880498', '61933135', '32141290', 'Sim-Simi', '123430710', '49395554', '75409582', '153287930']"
,
52308642,"['83503437', '215921340', '52000306', 'qusan', '41816023', 'rosemarytv', 'jbird', '94382541', 'glaciergr', '69669218', '178777329', '130870713', '154467654', 'aifeld', 'viking7117', 'cornmeal', '36217690', 'CheninBlanc', '44179125', '42781255', '58373581', 'yangzmaxwell', 'jenny107', 'ahbei', '3471405', 'cwantsc', '75326710', '66202405', '63784216', '69002029', '57979091', 'nkfxxiang', 'zijun0627', 'liuchang-92', '52596502', 'F-skating']"
,
135964261,"['BYETIFANCY', '155972679', '186380685', '165583195', 'truevoice', '151871662', 'bagualaile', 'yangchengjie', '104562976', '66781649', '123137208', 'ep5t', 'zhangjiawei']"
